AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
1,2020,1,Dhirendra Pratap Singh alias Rinku singh,JD(U),NDA,74906,195489,331874,38.3172,21585
1,2020,2,Rajesh Singh,INC,MGB,53321,195489,331874,27.2757,-21585
1,2020,3,Sumant Kumar,JAPL,Other,18409,195489,331874,9.4169,-56497
1,2020,4,Baidyanath Prasad,BSP,GDSF,14498,195489,331874,7.4163,-60408
1,2020,5,NOTA,NOTA,Other,8090,195489,331874,4.1383,-66816
1,2020,6,Mahendra Kumar Bharti,LJP,Other,6612,195489,331874,3.3823,-68294
1,2020,7,Deepak Kumar Malakar,BPL,Other,4279,195489,331874,2.1889,-70627
1,2020,8,Gaurav Jha,TPLRSP,Other,2863,195489,331874,1.4645,-72043
1,2020,9,Saket Kumar Pathak,JNSNGHDL,Other,2735,195489,331874,1.3991,-72171
1,2020,10,Mahmad Jalil,IND,Other,2657,195489,331874,1.3592,-72249
1,2020,11,Rajesh Kumar,IND,Other,2608,195489,331874,1.3341,-72298
1,2020,12,Tirthraj Yadav,IND,Other,2515,195489,331874,1.2865,-72391
1,2020,13,Kumari Rajwanti Kushwaha,IND,Other,1996,195489,331874,1.0210,-72910
2,2020,1,Bhagirathi Devi,BJP,NDA,75423,190613,295933,39.5687,15796
2,2020,2,Rajesh Ram,INC,MGB,59627,190613,295933,31.2817,-15796
2,2020,3,Subodh Kumar,BYPP,Other,26063,190613,295933,13.6733,-49360
2,2020,4,NOTA,NOTA,Other,4456,190613,295933,2.3377,-70967
2,2020,5,Lorik Das,FJKSP,Other,4331,190613,295933,2.2721,-71092
2,2020,6,Lokesh Ram,RLSP,GDSF,4051,190613,295933,2.1252,-71372
2,2020,7,Ramayan Paswan,IND,Other,3793,190613,295933,1.9899,-71630
2,2020,8,Vinay Ram,JDR,Other,3215,190613,295933,1.6867,-72208
2,2020,9,Awadh Kishor Ram,IND,Other,3111,190613,295933,1.6321,-72312
2,2020,10,Ayush Kumar,IND,Other,2671,190613,295933,1.4013,-72752
2,2020,11,Ramnaresh Baitha,IND,Other,2460,190613,295933,1.2906,-72963
2,2020,12,Champa Devi,TPLRSP,Other,1412,190613,295933,0.7408,-74011
3,2020,1,RASHMI VARMA,BJP,NDA,75484,164615,265561,45.8549,21134
3,2020,2,VINAY VARMA,INC,MGB,54350,164615,265561,33.0164,-21134
3,2020,3,RENU DEVI,IND,Other,7674,164615,265561,4.6618,-67810
3,2020,4,NAUSHAD AHMAD,LJP,Other,5408,164615,265561,3.2852,-70076
3,2020,5,MANJEET KUMAR VERMA,RLSP,GDSF,2913,164615,265561,1.7696,-72571
3,2020,6,NATHU RAVI,IND,Other,2051,164615,265561,1.2459,-73433
3,2020,7,BABLU KUMAR GUPTA,IND,Other,1805,164615,265561,1.0965,-73679
3,2020,8,NOTA,NOTA,Other,1647,164615,265561,1.0005,-73837
3,2020,9,ANIL KUMAR MISHRA,IND,Other,1429,164615,265561,0.8681,-74055
3,2020,10,MOHAMMAD RASHID AZIM,NCP,Other,1294,164615,265561,0.7861,-74190
3,2020,11,AFSAR IMAM,JAPL,Other,1255,164615,265561,0.7624,-74229
3,2020,12,RAMCHANDRA MAHTO,JMBP,Other,1148,164615,265561,0.6974,-74336
3,2020,13,GULREZ HODA,JNSNGHDL,Other,1113,164615,265561,0.6761,-74371
3,2020,14,MITHLESH TIWARY,IND,Other,1088,164615,265561,0.6609,-74396
3,2020,15,NAZNIM KHANAM,IND,Other,998,164615,265561,0.6063,-74486
3,2020,16,VIJAY RAM,JDR,Other,979,164615,265561,0.5947,-74505
3,2020,17,ANUP KUMAR MISHRA,TPLRSP,Other,959,164615,265561,0.5826,-74525
3,2020,18,MUNNA SINGH,FJKSP,Other,948,164615,265561,0.5759,-74536
3,2020,19,RUPN SINGH,IND,Other,705,164615,265561,0.4283,-74779
3,2020,20,MUKESH KUMAR,BJNJGD,Other,693,164615,265561,0.4210,-74791
3,2020,21,AVINASH KUMAR,BHRTSBLP,Other,674,164615,265561,0.4094,-74810
4,2020,1,RAM SINGH,BJP,NDA,90013,181799,305226,49.5124,30020
4,2020,2,JAYESH MANGLAM SINGH,INC,MGB,59993,181799,305226,32.9996,-30020
4,2020,3,RAGHAW SHARAN PANDEY,IND,Other,6429,181799,305226,3.5363,-83584
4,2020,4,PURNMASI RAM,JNSNGHDL,Other,3649,181799,305226,2.0072,-86364
4,2020,5,NOTA,NOTA,Other,3456,181799,305226,1.9010,-86557
4,2020,6,KAMRAN AZIZ,IND,Other,3077,181799,305226,1.6925,-86936
4,2020,7,SURESH MUKHIYA,JPS,Other,2600,181799,305226,1.4302,-87413
4,2020,8,ATUL KUMAR SHUKLA,LKSHPLK,Other,2364,181799,305226,1.3003,-87649
4,2020,9,UMESH GUPTA,RJBP,Other,1622,181799,305226,0.8922,-88391
4,2020,10,MANOJ KUMAR,BJNJGD,Other,1446,181799,305226,0.7954,-88567
4,2020,11,RADHESHYAM YADAV,FJKSP,Other,1444,181799,305226,0.7943,-88569
4,2020,12,SHESH NATH CHAUDHARY,BRRTD,Other,1406,181799,305226,0.7734,-88607
4,2020,13,MANOJ KUMAR RAO,IND,Other,1244,181799,305226,0.6843,-88769
4,2020,14,DURGESH SINGH CHAUHAN,BLND,Other,1162,181799,305226,0.6392,-88851
4,2020,15,SITA SHAH,TPLRSP,Other,1032,181799,305226,0.5677,-88981
4,2020,16,DALSINGAR RAM,BAHUMP,Other,862,181799,305226,0.4742,-89151
5,2020,1,Vinay Bihari,BJP,NDA,77927,157495,256277,49.4790,29004
5,2020,2,Shambhu Tiwari,RJD,MGB,48923,157495,256277,31.0632,-29004
5,2020,3,Ran Kaushal Pratap Singh,BSP,GDSF,17515,157495,256277,11.1210,-60412
5,2020,4,NOTA,NOTA,Other,3368,157495,256277,2.1385,-74559
5,2020,5,Neelam Singh,IND,Other,1906,157495,256277,1.2102,-76021
5,2020,6,Doctor Mahto,IND,Other,1541,157495,256277,0.9784,-76386
5,2020,7,Ajitesh Kumar,TPLRSP,Other,1462,157495,256277,0.9283,-76465
5,2020,8,Kamlesh Singh,IND,Other,1394,157495,256277,0.8851,-76533
5,2020,9,Sima Devi,JAPL,Other,1206,157495,256277,0.7657,-76721
5,2020,10,Abdul Quyum,JNSNGHDL,Other,1165,157495,256277,0.7397,-76762
5,2020,11,Ranjit Kumar,JDR,Other,1088,157495,256277,0.6908,-76839
6,2020,1,NARAYAN PRASAD,BJP,NDA,78657,167451,277724,46.9731,25896
6,2020,2,SHEIKH MOHAMMAD KAMRAN,INC,MGB,52761,167451,277724,31.5083,-25896
6,2020,3,MANORAMA PRASAD,IND,Other,15421,167451,277724,9.2093,-63236
6,2020,4,NANDKISHOR PRASAD,RLSP,GDSF,4587,167451,277724,2.7393,-74070
6,2020,5,VIKASH KUMAR PRASAD,IND,Other,3967,167451,277724,2.3691,-74690
6,2020,6,SHUBHAM KUMAR DUBEY,IND,Other,1824,167451,277724,1.0893,-76833
6,2020,7,NOTA,NOTA,Other,1813,167451,277724,1.0827,-76844
6,2020,8,LALAN RAI,IND,Other,1291,167451,277724,0.7710,-77366
6,2020,9,JAY PRAKASH SINGH KUSHWAHA,TPLRSP,Other,1169,167451,277724,0.6981,-77488
6,2020,10,YADAVENDRA KUMAR,JAPL,Other,1103,167451,277724,0.6587,-77554
6,2020,11,PRIYA RANJAN,IND,Other,1089,167451,277724,0.6503,-77568
6,2020,12,MD. SHAHNAWAZ,JNSNGHDL,Other,952,167451,277724,0.5685,-77705
6,2020,13,ADARSH KUMAR,IND,Other,860,167451,277724,0.5136,-77797
6,2020,14,RATAN KUMAR SARKAR,IND,Other,827,167451,277724,0.4939,-77830
6,2020,15,PUNYADEO PRASAD,JRJP,Other,592,167451,277724,0.3535,-78065
6,2020,16,SURENDRA CHOUDHARY,JDR,Other,538,167451,277724,0.3213,-78119
7,2020,1,Umakant Singh,BJP,NDA,83828,175774,275439,47.6908,13469
7,2020,2,Abhishek Ranjan,INC,MGB,70359,175774,275439,40.0281,-13469
7,2020,3,Tripurari Kr. Tiwari @ Manish kasyap,IND,Other,9239,175774,275439,5.2562,-74589
7,2020,4,Santosh Kumar Gupta,RLSP,GDSF,3526,175774,275439,2.0060,-80302
7,2020,5,NOTA,NOTA,Other,2910,175774,275439,1.6555,-80918
7,2020,6,Sheshnath Bharti,IND,Other,1375,175774,275439,0.7823,-82453
7,2020,7,Ramayan Yadav,IND,Other,938,175774,275439,0.5336,-82890
7,2020,8,Munna Singh,IND,Other,875,175774,275439,0.4978,-82953
7,2020,9,Ravisagar Bharati,ASPKR,Other,730,175774,275439,0.4153,-83098
7,2020,10,Shekh Firoz,VCSMP,Other,690,175774,275439,0.3925,-83138
7,2020,11,Om Prakash Jaiswal,IND,Other,346,175774,275439,0.1968,-83482
